,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
35,CHEMBL274070,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,363.3730000000001,1.6618000000000002,2.0,7.0,8.785156151952302
36,CHEMBL513172,Cn1cc(CC(N)C(=O)O)c2ccccc21,218.25600000000003,1.1326999999999996,2.0,3.0,7.671416550285798
37,CHEMBL1519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,430.54500000000036,2.7733000000000008,2.0,5.0,7.758951849328356
38,CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,529.5260000000001,6.355840000000005,2.0,7.0,7.448306084872775
39,CHEMBL149082,NCCCS(=O)(=O)O,139.176,-0.7769999999999997,2.0,3.0,7.375614758579735
40,CHEMBL442218,O=C1N[C@H](C(=O)O)CS1,147.155,-0.10399999999999993,2.0,3.0,7.705313375720556
41,CHEMBL1235017,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,156.097,-1.2386000000000001,3.0,3.0,7.616005210558267
42,CHEMBL251254,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,464.37900000000025,-0.5388999999999995,8.0,12.0,7.331893762067269
43,CHEMBL336296,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,484.1400000000001,-2.500900000000001,7.0,12.0,7.474307475494989
44,CHEMBL1231530,O=C(O)CCNC(=O)c1ccccc1,193.20200000000003,0.8911,2.0,2.0,7.560036064079095
45,CHEMBL2111092,O=S(=O)(O)CCCS(=O)(=O)O,204.225,-0.8478999999999997,2.0,4.0,9.42021640338319
46,CHEMBL2107455,CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,374.37400000000014,2.5251,2.0,6.0,
47,CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,273.24399999999997,2.545420000000002,2.0,5.0,7.445631999009913
48,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,369.3680000000001,3.515220000000001,1.0,4.0,6.986614982250314
